Ensembl,Healthy_1,Healthy_2,Healthy_3,Healthy_4
ENSG00000116138,121,105,114,167
ENSG00000116771,267,266,128,224
ENSG00000197312,443,457,267,489
ENSG00000215695,107,105,36,77
ENSG00000116786,40,42,58,40
ENSG00000162461,13,15,4,3
ENSG00000162460,152,154,0,64
ENSG00000162458,77,89,34,26
ENSG00000233954,12,18,78,31
ENSG00000065526,307,276,148,131
ENSG00000116809,12,10,6,36
ENSG00000183888,18,16,0,1
ENSG00000173641,0,0,1,0
ENSG00000186510,0,0,0,0
ENSG00000184908,0,0,0,0
ENSG00000185519,0,0,3,0
ENSG00000142627,81,84,20,33
ENSG00000142632,0,0,9,4
ENSG00000132881,0,0,4,0
ENSG00000037637,38,30,31,36
ENSG00000055070,104,105,303,158
ENSG00000187144,24,20,121,44
ENSG00000157191,90,90,160,47
ENSG00000219481,111,112,135,126
ENSG00000058453,16,18,41,20
ENSG00000117122,0,0,18,25
ENSG00000159363,104,87,22,25
ENSG00000117118,696,650,691,934
ENSG00000117115,10,12,1,3
ENSG00000142623,0,0,0,0
ENSG00000159339,7,10,0,2
ENSG00000179051,42,34,94,32
ENSG00000074964,294,239,250,186
ENSG00000117148,0,0,0,0
ENSG00000117154,0,0,2,0
ENSG00000179023,0,0,2,52
ENSG00000009709,0,0,0,0
ENSG00000255275,95,62,195,116
ENSG00000159423,522,424,862,999
ENSG00000169991,8,6,22,38
ENSG00000127481,802,742,210,412
ENSG00000127463,115,104,338,68
ENSG00000053372,124,109,69,103
ENSG00000162482,634,548,226,213
ENSG00000053371,119,102,167,126
ENSG00000040487,142,112,94,29
ENSG00000077549,150,153,468,265
ENSG00000173436,173,139,375,184
ENSG00000270136,85,54,258,122
ENSG00000158747,0,4,3,5
ENSG00000162542,7,7,36,1
ENSG00000178828,0,0,32,0
ENSG00000169914,34,25,10,5
ENSG00000188784,0,0,0,0
ENSG00000188257,1,8,252,80
ENSG00000127472,2,3,6,19
ENSG00000117215,4,5,0,0
ENSG00000158786,0,0,0,0
ENSG00000187980,18,12,2,2
ENSG00000162543,0,0,0,1
ENSG00000158816,14,19,2,1
ENSG00000162545,81,64,211,153
ENSG00000090432,0,0,146,42
ENSG00000183114,0,0,0,0
ENSG00000158825,82,73,28,52
ENSG00000158828,524,475,584,574
ENSG00000244038,208,202,868,207
ENSG00000117245,6,2,8,4
ENSG00000189410,0,0,0,0
ENSG00000127483,894,917,155,204
ENSG00000075151,196,187,362,153
ENSG00000117298,272,215,513,223
ENSG00000142794,18,21,14,21
ENSG00000162551,52,37,350,144
ENSG00000076864,39,34,120,29
ENSG00000090686,52,43,40,46
ENSG00000187942,81,62,77,74
ENSG00000142798,124,115,191,116
ENSG00000219073,1,2,0,1
ENSG00000142789,0,0,0,0
ENSG00000070831,231,212,653,449
ENSG00000162552,0,2,16,12
ENSG00000184677,40,38,19,42
ENSG00000070886,0,0,0,0
ENSG00000173372,97,101,599,416
ENSG00000159189,163,166,521,206
ENSG00000173369,131,115,721,319
ENSG00000133216,13,5,1,4
ENSG00000227868,0,0,0,0
ENSG00000004487,117,117,57,59
ENSG00000169641,53,48,34,22
ENSG00000179546,5,7,0,2
ENSG00000125944,173,154,309,176
ENSG00000125945,3,6,57,23
ENSG00000204219,583,581,637,414
ENSG00000088280,38,36,83,61
ENSG00000007968,11,16,63,2
ENSG00000117318,68,76,284,38
ENSG00000197880,14,16,1,2
ENSG00000142676,709,627,2007,1022
ENSG00000011007,110,124,144,127
ENSG00000057757,193,172,123,139
ENSG00000011009,295,255,210,207
ENSG00000117308,22,21,141,95
ENSG00000117305,1301,1119,408,844
ENSG00000179163,188,190,295,165
ENSG00000188822,56,64,2,8
ENSG00000189266,64,53,304,183
ENSG00000188529,179,180,528,235
ENSG00000142661,12,5,2,3
ENSG00000142677,0,1,2,4
ENSG00000185436,45,35,63,17
ENSG00000158055,0,0,1,0
ENSG00000001460,111,113,13,4
ENSG00000001461,33,25,27,10
ENSG00000117602,14,18,2,16
ENSG00000184454,25,31,4,12
ENSG00000133226,636,559,305,226
ENSG00000169504,241,217,361,131
ENSG00000020633,6,1,0,1
ENSG00000117614,77,90,161,90
ENSG00000117616,204,247,192,118
ENSG00000187010,30,31,4,15
ENSG00000183726,14,15,512,134
ENSG00000188672,0,1,9,6
ENSG00000204178,329,326,240,193
ENSG00000157978,20,20,68,47
ENSG00000117643,100,78,42,65
ENSG00000162430,40,42,140,98
ENSG00000255054,9,11,10,31
ENSG00000117640,126,126,84,102
ENSG00000127423,10,9,6,12
ENSG00000182749,30,43,15,40
ENSG00000117632,43,37,210,89
ENSG00000158006,38,41,144,68
ENSG00000158008,0,0,0,0
ENSG00000158014,11,13,3,3
ENSG00000158022,0,0,0,0
ENSG00000175087,50,61,83,44
ENSG00000197245,0,0,0,0
ENSG00000142684,264,259,157,125
ENSG00000142675,2,2,5,2
ENSG00000130695,81,73,0,17
ENSG00000142669,397,384,866,383
ENSG00000158062,203,196,292,116
ENSG00000169442,1,0,47,21
ENSG00000176092,0,0,0,0
ENSG00000176083,3,3,2,1
ENSG00000131914,23,20,0,2
ENSG00000117682,105,113,8,33
ENSG00000198830,658,604,1147,366
ENSG00000117676,0,0,16,24
ENSG00000117713,364,345,237,318
ENSG00000060642,79,66,80,94
ENSG00000204160,20,24,22,18
ENSG00000175793,0,0,3,1
ENSG00000142751,50,58,133,61
ENSG00000198746,0,2,25,20
ENSG00000090273,685,598,447,396
ENSG00000131910,288,257,109,63
ENSG00000175707,0,0,6,21
ENSG00000253368,13,13,0,23
ENSG00000158246,0,0,21,3
ENSG00000090020,36,43,3,8
ENSG00000142784,49,52,14,57
ENSG00000186501,32,23,226,103
ENSG00000142765,49,57,0,16
ENSG00000142733,8,12,5,25
ENSG00000142748,423,433,2487,580
ENSG00000174950,0,0,0,0
ENSG00000181773,0,0,0,2
ENSG00000158195,300,390,128,89
ENSG00000126705,28,31,15,5
ENSG00000000938,49,55,22,19
ENSG00000126709,13,8,121,1325
ENSG00000009780,28,30,51,17
ENSG00000117758,79,72,381,63
ENSG00000117751,0,0,96,23
ENSG00000130775,0,0,29,19
ENSG00000117748,18,19,142,47
ENSG00000130768,0,1,15,0
ENSG00000158156,2,1,57,81
ENSG00000158161,67,46,21,41
ENSG00000169403,20,24,1,16
ENSG00000126698,413,399,408,137
ENSG00000130770,402,423,618,1013
ENSG00000130766,183,187,109,49
ENSG00000130772,50,44,43,18
ENSG00000204138,608,552,179,302
ENSG00000180198,113,126,75,18
ENSG00000180098,105,108,40,73
ENSG00000120656,92,105,116,49
ENSG00000188060,88,77,4,4
ENSG00000162419,117,107,14,19
ENSG00000198492,31,23,301,178
ENSG00000116329,30,34,6,10
ENSG00000159023,299,272,152,59
ENSG00000253304,16,14,46,26
ENSG00000116350,135,115,169,128
ENSG00000116353,103,109,38,45
ENSG00000060656,15,16,54,11
ENSG00000162510,1,0,0,0
ENSG00000162511,109,97,370,76
ENSG00000162512,4,8,64,69
ENSG00000134644,173,195,156,185
ENSG00000084628,0,0,0,0
ENSG00000060688,6,7,18,32
ENSG00000121766,97,77,82,82
ENSG00000121769,0,1,24,5
ENSG00000168528,446,441,950,369
ENSG00000142910,155,143,144,48
ENSG00000121764,0,0,12,5
ENSG00000162517,0,0,238,164
ENSG00000084636,0,0,3,2
ENSG00000121753,0,0,0,0
ENSG00000134668,4,6,1,0
ENSG00000184007,244,230,377,351
ENSG00000121774,92,99,206,98
ENSG00000121775,8,6,53,29
ENSG00000025800,311,256,138,236
ENSG00000084652,303,266,232,252
ENSG00000160050,46,45,12,5
ENSG00000160051,14,11,0,1
ENSG00000222046,7,4,1,0
ENSG00000160055,33,24,37,7
ENSG00000084623,76,56,684,395
ENSG00000183615,109,95,80,40
ENSG00000182866,8,13,29,7
ENSG00000116478,202,205,347,82
ENSG00000175130,254,197,293,137
ENSG00000162526,0,1,0,9
ENSG00000225828,2,3,4,18
ENSG00000160058,100,84,210,118
ENSG00000254553,0,1,0,0
ENSG00000273274,121,121,13,32
ENSG00000160062,139,236,13,42
ENSG00000176261,46,57,79,71
ENSG00000162521,334,282,283,129
ENSG00000162520,58,55,75,58
ENSG00000162522,56,56,26,42
ENSG00000134684,111,102,702,211
ENSG00000116497,47,73,70,44
ENSG00000160097,44,41,44,12
ENSG00000121905,17,21,11,4
ENSG00000121900,48,75,45,11
ENSG00000116514,18,10,8,23
ENSG00000004455,622,551,708,540
ENSG00000142920,0,0,0,7
ENSG00000116525,2,0,0,7
ENSG00000160094,86,66,28,37
ENSG00000134686,70,58,309,192
ENSG00000121903,7,13,13,2
ENSG00000121904,13,9,4,1
ENSG00000142698,0,0,0,0
ENSG00000163866,93,84,178,190
ENSG00000189280,33,31,0,0
ENSG00000189433,0,0,0,0
ENSG00000188910,3,4,0,0
ENSG00000187513,5,2,36,40
ENSG00000116544,1,1,0,0
ENSG00000271741,199,167,241,147
ENSG00000243749,122,111,216,129
ENSG00000163867,162,114,72,47
ENSG00000197056,11,13,57,35
ENSG00000116560,222,225,216,236
ENSG00000146463,85,89,166,96
ENSG00000142687,317,281,230,277
ENSG00000020129,143,103,19,38
ENSG00000116819,0,0,0,0
ENSG00000126067,223,185,906,352
