Ensembl,Symbol,Disease_1,Disease_2,Disease_3
ENSG00000162704,ARPC5,326,281,197
ENSG00000143344,RGL1,134,114,139
ENSG00000173627,APOBEC4,0,0,0
ENSG00000198756,COLGALT2,0,0,0
ENSG00000198860,TSEN15,37,38,56
ENSG00000116667,C1orf21,129,114,4
ENSG00000116406,EDEM3,272,211,170
ENSG00000135842,FAM129A,32,21,13
ENSG00000121481,RNF2,21,8,20
ENSG00000121486,TRMT1L,74,78,13
ENSG00000116668,SWT1,4,11,23
ENSG00000116679,IVNS1ABP,58,70,135
ENSG00000143341,HMCN1,72,46,0
ENSG00000116690,PRG4,6612,5276,2530
ENSG00000047410,TPR,979,832,646
ENSG00000157181,C1orf27,104,88,83
ENSG00000262180,OCLM,0,0,0
ENSG00000116703,PDC,1,1,6
ENSG00000073756,PTGS2,0,0,2
ENSG00000116711,PLA2G4A,0,0,0
ENSG00000162670,BRINP3,0,0,0
ENSG00000150681,RGS18,7,8,0
ENSG00000090104,RGS1,44,35,53
ENSG00000127074,RGS13,2,2,12
ENSG00000116741,RGS2,63,37,62
ENSG00000116750,UCHL5,84,87,23
ENSG00000116747,TROVE2,186,143,242
ENSG00000023572,GLRX2,47,40,13
ENSG00000134371,CDC73,109,78,47
ENSG00000162630,B3GALT2,0,1,6
ENSG00000162687,KCNT2,62,50,56
ENSG00000000971,CFH,7428,6407,2917
ENSG00000116785,CFHR3,961,791,260
ENSG00000276911,BX248415.1,2094,1680,763
ENSG00000244414,CFHR1,2774,2301,1842
ENSG00000134365,CFHR4,538,472,116
ENSG00000080910,CFHR2,2060,1663,754
ENSG00000134389,CFHR5,566,468,364
ENSG00000143278,F13B,419,316,125
ENSG00000066279,ASPM,11,13,76
ENSG00000177888,ZBTB41,35,35,46
ENSG00000134376,CRB1,1,3,0
ENSG00000213047,DENND1B,142,117,86
ENSG00000203724,C1orf53,49,34,28
ENSG00000143355,LHX9,11,6,2
ENSG00000151414,NEK7,84,71,101
ENSG00000081237,PTPRC,70,54,81
ENSG00000116833,NR5A2,178,150,139
ENSG00000162702,ZNF281,262,189,191
ENSG00000118193,KIF14,3,2,29
ENSG00000118197,DDX59,16,10,39
ENSG00000118200,CAMSAP2,31,18,111
ENSG00000163362,C1orf106,25,21,181
ENSG00000116852,KIF21B,16,25,17
ENSG00000081248,CACNA1S,0,0,0
ENSG00000232237,ASCL5,0,0,0
ENSG00000116857,TMEM9,301,279,572
ENSG00000163395,IGFN1,0,0,0
ENSG00000081277,PKP1,0,0,0
ENSG00000118194,TNNT2,12,8,5
ENSG00000159166,LAD1,85,93,36
ENSG00000159173,TNNI1,18,20,10
ENSG00000174307,PHLDA3,51,45,15
ENSG00000159176,CSRP1,471,348,84
ENSG00000134369,NAV1,93,68,54
ENSG00000198700,IPO9,115,95,184
ENSG00000198892,SHISA4,12,15,16
ENSG00000163431,LMOD1,6,4,19
ENSG00000134375,TIMM17A,484,369,201
ENSG00000176393,RNPEP,152,132,51
ENSG00000163435,ELF3,494,367,353
ENSG00000170075,GPR37L1,38,46,27
ENSG00000143862,ARL8A,120,109,38
ENSG00000143851,PTPN7,51,40,68
ENSG00000133067,LGR6,0,1,2
ENSG00000077152,UBE2T,5,9,8
ENSG00000077157,PPP1R12B,120,120,51
ENSG00000143858,SYT2,21,23,12
ENSG00000117139,KDM5B,160,153,215
ENSG00000183155,RABIF,20,12,60
ENSG00000117153,KLHL12,76,57,35
ENSG00000159346,ADIPOR1,474,369,220
ENSG00000159348,CYB5R1,290,248,116
ENSG00000163444,TMEM183A,193,178,84
ENSG00000143847,PPFIA4,0,0,8
ENSG00000122180,MYOG,0,1,0
ENSG00000163485,ADORA1,0,0,0
ENSG00000133055,MYBPH,9,6,8
ENSG00000133048,CHI3L1,1173,929,1257
ENSG00000133063,CHIT1,0,0,0
ENSG00000159388,BTG2,83,89,267
ENSG00000122176,FMOD,9,5,0
ENSG00000188783,PRELP,113,75,13
ENSG00000058668,ATP2B4,180,126,339
ENSG00000122188,LAX1,2,4,6
ENSG00000058673,ZC3H11A,449,386,570
ENSG00000257315,ZBED6,323,279,573
ENSG00000182004,SNRPE,212,203,337
ENSG00000143842,SOX13,87,86,109
ENSG00000143845,ETNK2,782,676,155
ENSG00000143839,REN,2,3,0
ENSG00000170498,KISS1,0,0,3
ENSG00000174567,GOLT1A,366,319,475
ENSG00000143850,PLEKHA6,154,124,49
ENSG00000158615,PPP1R15B,109,94,124
ENSG00000133056,PIK3C2B,35,34,128
ENSG00000198625,MDM4,362,322,448
ENSG00000170382,LRRN2,7,6,5
ENSG00000163531,NFASC,83,67,13
ENSG00000184144,CNTN2,8,7,15
ENSG00000174529,TMEM81,1,0,5
ENSG00000117222,RBBP5,149,124,131
ENSG00000133059,DSTYK,73,54,115
ENSG00000133069,TMCC2,0,0,0
ENSG00000163545,NUAK2,43,27,41
ENSG00000162873,KLHDC8A,0,0,0
ENSG00000186007,LEMD1,0,0,0
ENSG00000117266,CDK18,67,67,5
ENSG00000174514,MFSD4A,19,8,17
ENSG00000158711,ELK4,78,59,86
