Ensembl,Disease_1,Disease_2,Disease_3
ENSG00000159363,35,37,31
ENSG00000117118,676,571,144
ENSG00000117115,2,3,2
ENSG00000142623,0,0,0
ENSG00000159339,19,8,4
ENSG00000179051,18,13,15
ENSG00000074964,353,278,228
ENSG00000117148,0,0,0
ENSG00000117154,0,0,3
ENSG00000179023,35,23,0
ENSG00000009709,0,0,0
ENSG00000255275,533,418,62
ENSG00000159423,2529,1965,472
ENSG00000169991,27,25,24
ENSG00000127481,641,530,367
ENSG00000127463,118,97,55
ENSG00000053372,65,51,46
ENSG00000162482,1386,1084,5
ENSG00000053371,460,379,103
ENSG00000040487,96,75,100
ENSG00000077549,350,292,133
ENSG00000173436,254,231,124
ENSG00000270136,150,147,65
ENSG00000158747,4,7,4
ENSG00000162542,28,23,25
ENSG00000178828,0,0,0
ENSG00000169914,18,15,19
ENSG00000188784,0,0,0
ENSG00000188257,134,103,0
ENSG00000127472,4,1,0
ENSG00000117215,17,17,0
ENSG00000158786,0,0,0
ENSG00000187980,6,3,5
ENSG00000162543,44,36,32
ENSG00000158816,14,12,15
ENSG00000162545,236,168,211
ENSG00000090432,150,90,63
ENSG00000183114,2,2,0
ENSG00000158825,227,219,29
ENSG00000158828,1332,1033,148
ENSG00000244038,424,349,265
ENSG00000117245,13,12,2
ENSG00000189410,0,0,0
ENSG00000127483,403,351,218
ENSG00000075151,169,129,74
ENSG00000117298,377,307,249
ENSG00000142794,34,26,13
ENSG00000162551,122,92,1
ENSG00000076864,28,20,27
ENSG00000090686,112,95,57
ENSG00000187942,85,69,37
ENSG00000142798,137,128,86
ENSG00000219073,1,1,4
ENSG00000142789,0,0,0
ENSG00000070831,546,441,312
ENSG00000162552,0,3,3
ENSG00000184677,40,22,108
ENSG00000070886,0,0,0
ENSG00000173372,546,428,418
ENSG00000159189,419,357,226
ENSG00000173369,503,406,361
ENSG00000133216,9,13,3
ENSG00000227868,0,0,0
ENSG00000004487,91,69,28
ENSG00000169641,41,46,38
ENSG00000179546,2,2,4
ENSG00000125944,208,173,192
ENSG00000125945,10,12,0
ENSG00000204219,679,601,293
ENSG00000088280,32,24,15
ENSG00000007968,8,6,0
ENSG00000117318,104,70,4
ENSG00000197880,9,4,4
ENSG00000142676,1489,1204,935
ENSG00000011007,163,141,41
ENSG00000057757,124,122,42
ENSG00000011009,248,223,145
ENSG00000117308,269,216,181
ENSG00000117305,1798,1456,292
ENSG00000179163,338,294,71
ENSG00000188822,40,19,25
ENSG00000189266,81,75,60
ENSG00000188529,238,187,189
ENSG00000142661,8,12,3
ENSG00000142677,2,2,41
ENSG00000185436,60,54,69
ENSG00000158055,0,0,0
ENSG00000001460,20,18,28
ENSG00000001461,76,69,34
ENSG00000117602,35,22,55
ENSG00000184454,29,21,24
ENSG00000133226,356,313,226
ENSG00000169504,104,86,69
